OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
454;1;0;454;13/07/2020 16:08;1;297301,31;9135534,78;297290,51;9135684,39;355,87;-1,058455028;4
459;1;0;459;13/07/2020 16:08;1;297238,91;9135531,03;297252,2;9135680,44;5,09;-7,384841814;4
460;1;0;460;13/07/2020 16:08;1;297241,89;9135530,74;297241,71;9135680,74;359,93;-8,693603846;4
461;1;0;461;13/07/2020 16:08;1;297244,87;9135531,08;297230,07;9135680,35;354,34;-8,011138176;4
463;1;0;463;13/07/2020 16:08;1;297250,78;9135531,2;297196,69;9135671,11;338,87;-7,872313447;4
464;1;0;464;13/07/2020 16:08;1;297253,31;9135532,79;297172,84;9135659,38;327,56;-6,616084157;4
465;1;0;465;13/07/2020 16:08;1;297256;9135534,08;297219,5;9135679,57;345,92;-3,691767603;4
466;1;0;466;13/07/2020 16:08;1;297258,96;9135534,52;297230,4;9135681,77;349,02;-3,84703056;4
467;1;0;467;13/07/2020 16:08;1;297261,88;9135535,2;297229,9;9135681,75;347,69;-3,119918515;4
468;1;0;468;13/07/2020 16:08;1;297264,81;9135535,8;297247,04;9135684,75;353,19;-2,370471177;4
469;1;0;469;13/07/2020 16:08;1;297267,8;9135535,78;297262,02;9135685,67;357,79;-2,279457188;4
471;1;0;471;13/07/2020 16:08;1;297273,35;9135534,78;297370,63;9135648,96;40,43;-1,50971864;4
472;1;0;472;13/07/2020 16:08;1;297275,63;9135532,84;297375,65;9135644,63;41,82;-3,274188972;4
473;1;0;473;13/07/2020 16:08;1;297277,9;9135530,89;297278,62;9135680,89;0,27;-4,38852975;4
544;1;0;544;13/07/2020 16:08;1;297202,71;9135534,85;297213,88;9135684,44;4,27;-2,807755319;4
546;1;0;546;13/07/2020 16:08;1;297208,57;9135534,46;297209,65;9135684,45;0,41;-0,003004522;4
548;1;0;548;13/07/2020 16:08;1;297214,38;9135533,76;297206,5;9135683,55;356,99;-5,98780411;4
549;1;0;549;13/07/2020 16:08;1;297217,33;9135533,84;297174,43;9135677,57;343,38;-5,763272034;4
550;1;0;550;13/07/2020 16:08;1;297220,07;9135535,03;297209,67;9135684,67;356,02;-3,98917263;4
551;1;0;551;13/07/2020 16:08;1;297222,66;9135533,83;297296,4;9135664,46;29,44;-5,300960133;4
555;1;0;555;13/07/2020 16:08;1;297234,21;9135530,98;297201,97;9135677,48;347,59;-7,108481913;4
568;1;0;568;13/07/2020 16:08;1;297300,81;9135556,49;297258,69;9135412,53;196,31;-11,30445787;5
569;1;0;569;13/07/2020 16:08;1;297297,96;9135557,39;297262,1;9135411,74;193,83;-10,65419774;5
